,0
0,"It has black, cape-like fur that is very hard and decreases the amount of damage it receives."
1,"This very loyal Pokémon helps Trainers, and it also takes care of other Pokémon."
2,"It has been living with people for so long that portrayals of it can be found on the walls of caves from long, long ago."
3,"The longer its black fur grows, the harder and more impervious it gets. Claws and fangs can’t easily penetrate it."
4,Its dense black fur grows continuously. The high cost of keeping its hard fur properly groomed makes this a troublesome Pokémon to train.
5,"It loyally follows its Trainer’s orders. For ages, they have helped Trainers raise Pokémon."
6,"This Pokémon obeys its master’s orders faithfully. However, it refuses to listen to anything said by a person it doesn’t respect."
7,"Small Pokémon flee from its scary face. It is, however, considered by women to be cute."
8,Its growls make its opponents uneasy. This laid-back Pokémon tends to sleep half the day.
9,"Despite its intimidating face, it’s quite cowardly. Its desperate attempts to appear threatening make it popular with people."
10,"It has an active, playful nature. Many women like to frolic with it because of its affectionate ways."
11,It grows close to others easily and is also easily spoiled. The disparity between its face and its actions makes many young people wild about it.
12,"Although it looks frightening, it is actually kind and affectionate. It is very popular among women."
13,"By baring its fangs and making a scary face, it sends smaller POKéMON scurrying in terror. The SNUBBULL does seem a little sad at making its foes flee."
14,"In contrast to its appearance, it’s quite timid. When playing with other puppy Pokémon, it sometimes gets bullied."
15,"In truth, it is a cowardly POKéMON. It growls eagerly in order to hide its fear from its opponent."
16,"By baring its fangs and making a scary face, SNUBBULL sends smaller POKéMON scurrying away in terror. However, this POKéMON seems a little sad at making its foes flee."
17,"By baring its fangs and making a scary face, Snubbull sends smaller Pokémon scurrying away in terror. However, this Pokémon seems a little sad at making its foes flee."
18,It is said to be the guardian of the seas. It is rumored to have been seen on the night of a storm.
19,It has an incredible ability to calm raging storms. It is said that LUGIA appears when storms start.
20,"It sleeps in a deep-sea trench. If it flaps its wings, it is said to cause a 40-day storm."
21,"LUGIA’s wings pack devastating power - a light fluttering of its wings can blow apart regular houses. As a result, this POKéMON chooses to live out of sight deep under the sea."
22,"LUGIA is so powerful even a light fluttering of its wings can blow apart houses. As a result, it chooses to live out of sight deep under the sea."
23,"Lugia’s wings pack devastating power—a light fluttering of its wings can blow apart regular houses. As a result, this Pokémon chooses to live out of sight deep under the sea."
24,It is said that it quietly spends its time deep at the bottom of the sea because its powers are too strong.
25,"To keep its pitch-black tail hidden, it lives quietly in the darkness. It is never first to attack."
26,"Wobbuffet does nothing but endure attacks—it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the Pokémon will try to take the foe with it using Destiny Bond."
27,"If two or more WOBBUFFET meet, they will turn competitive and try to outdo each other’s endurance. However, they may try to see which one can endure the longest without food. TRAINERS need to beware of this habit."
28,"In order to conceal its black tail, it lives in a dark cave and only moves about at night."
29,"If two or more Wobbuffet meet, they will turn competitive and try to outdo each other’s endurance. However, they may try to see which one can endure the longest without food. Trainers need to beware of this habit."
30,"Usually docile, a WOBBUFFET strikes back ferociously if its black tail is attacked. It makes its lair in caves where it waits for nightfall."
31,"It hates light and shock. If attacked, it inflates its body to build up its counterstrike."
32,"It hates light and shock. If attacked, it inflates its body to pump up its counterstrike."
33,It desperately tries to keep its black tail hidden. It is said to be proof the tail hides a secret.
34,"WOBBUFFET does nothing but endure attacks - it won’t attack on its own. However, it won’t endure an attack on its tail. When that happens, the POKéMON will try to take the foe with it using DESTINY BOND."
35,They use their tusks to crush the berries they eat. Repeated regrowth makes their tusks strong and sharp.
36,"Its large tusks have a tendency to break, but each time they grow back, they grow in harder and sturdier."
37,"They mark their territory by leaving gashes in trees with their tusks. If a tusk breaks, a new one grows in quickly."
38,"Once it appears, it goes on a rampage. It remains enraged until it demolishes everything around it."
39,"Once GYARADOS goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this POKéMON’s rampages lasting a whole month."
40,Brutally vicious and enormously destructive. Known for totally destroying cities in ancient times.
41,"A tale is told of a town that angered Gyarados. Before the sun rose the next day, flames utterly consumed the town, leaving not a trace behind."
42,There are people who swear that any place Gyarados appears is fated for destruction.
43,"Mega Evolution also affects its brain, leaving no other function except its destructive instinct to burn everything to cinders."
44,"It fires hyper beams in all directions, burning the surrounding area to ash. There are some regions where it’s called “the deity of destruction.”"
45,"They say that during past strife, GYARADOS would appear and leave blazing ruins in its wake."
46,"Once it appears, its rage never settles until it has razed the fields and mountains around it."
47,"They say that during past wars, GYARADOS would appear and leave blazing ruins in its wake."
48,"It appears whenever there is world conflict, burning down any place it travels through."
49,"It jets water from the orifices on its sides, streaking above the water surface at supersonic speed."
50,"Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage."
51,"Once it begins to rampage, a GYARADOS will burn everything down, even in a harsh storm."
52,"When Magikarp evolves into Gyarados, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this Pokémon’s wildly violent nature."
53,"Once Gyarados goes on a rampage, its ferociously violent blood doesn’t calm until it has burned everything down. There are records of this Pokémon’s rampages lasting a whole month."
54,Mega Evolution places a burden on its body. The stress causes it to become all the more ferocious.
55,It zooms out of the water at Mach speeds. Even large ships caught in its path are split cleanly in two!
56,"Once it begins to rampage, a Gyarados will burn everything down, even in a harsh storm."
57,"In ancient literature, there is a record of a GYARADOS that razed a village when violence flared."
58,"In ancient literature, there is a record of a Gyarados that razed a village when violence flared."
59,"The energy from evolution stimulated its brain cells strongly, causing it to become very ferocious."
60,It has an extremely aggressive nature. The HYPER BEAM it shoots from its mouth totally incinerates all targets.
61,"When MAGIKARP evolves into GYARADOS, its brain cells undergo a structural transformation. It is said that this transformation is to blame for this POKéMON’s wildly violent nature."
